분류,장소명,카카오맵_장소명,위도,경도,주소
자연,1100고지습지,1100고지습지 람사르습지,33.358019353966,126.463629659889,제주특별자치도 서귀포시 색달동 산 1-1
자연,가마오름,가마오름,33.3055618312583,126.247106431235,제주특별자치도 제주시 한경면 청수리 1202
자연,가메창,가메창,33.3297624955342,126.248582416639,제주특별자치도 제주시 한경면 저지리 1469
자연,가문이오름,가문이오름,33.4021361147093,126.688207159561,제주특별자치도 서귀포시 표선면 가시리 산 158-2
자연,가새기오름,가새기오름,33.4890810253706,126.503810560813,제주특별자치도 제주시 오라동 산 2845
자연,가세오름,가세오름,33.3321817615412,126.781292551096,제주특별자치도 서귀포시 표선면 토산리 산 2
자연,가시오름,가시오름,33.2466855792793,126.243311014669,제주특별자치도 서귀포시 대정읍 동일리 1706
자연,가파도,가파도,33.1697536252638,126.271302061587,제주특별자치도 서귀포시 대정읍 가파리
자연,갈마못,갈마못,33.388065993546,126.808503748043,제주특별자치도 서귀포시 성산읍 삼달리 2257-10
자연,감낭오름,감낭오름,33.3245689529387,126.350194637889,제주특별자치도 서귀포시 안덕면 동광리 산 41
자연,감은이오름,가문이오름,33.4021361147093,126.688207159561,제주특별자치도 서귀포시 표선면 가시리 산 158-2
자연,갑선이오름,갑선이오름,33.3608684652708,126.781650598157,제주특별자치도 서귀포시 표선면 가시리 산 2
자연,강정천,강정천,33.2326659143234,126.489428214698,제주특별자치도 서귀포시 강정동 5647
자연,개오름,개오름,33.4227053261234,126.771810464544,제주특별자치도 서귀포시 표선면 성읍리 2974
자연,개오리오름,개오리오름,33.4266741233689,126.612619605479,제주특별자치도 제주시 봉개동 산 78-1
자연,갯거리오름,갯거리오름,33.3757693190315,126.292817216468,제주특별자치도 제주시 한림읍 명월리 15
자연,거린사슴,거린사슴,33.3096304578949,126.454257624919,제주특별자치도 서귀포시 대포동 산 2-1
자연,거문오름,거문오름,33.4547160435,126.71828648689515,제주특별자치도 제주시 조천읍 선흘리 산 102-1
자연,거미오름,거미오름,33.4489390478229,126.803676461748,제주특별자치도 제주시 구좌읍 종달리 산 70
자연,거슨세미,거슨세미,33.4501751509402,126.760105449155,제주특별자치도 제주시 구좌읍 송당리 산 145
자연,걸시오름,걸시오름,33.4138482545641,126.503856088923,제주특별자치도 제주시 연동 2448-281
자연,검멀레해변,검멀레해변,33.4971710116198,126.966902542993,제주특별자치도 제주시 우도면 연평리
자연,고근산,고근산,33.2667657007041,126.512867787063,제주특별자치도 서귀포시 서호동 1286-1
자연,곽지과물해변,곽지해수욕장,33.4506575078278,126.304673157235,제주특별자치도 제주시 애월읍 곽지리 1565
자연,광치기해변,광치기해변,33.452086460427,126.92449048608,제주특별자치도 서귀포시 성산읍 오조리
자연,괴오름,괴오름,33.3584965127383,126.379488443838,제주특별자치도 제주시 애월읍 봉성리 산 41
자연,구두리오름,구두리오름,33.4100477541021,126.687843480475,제주특별자치도 서귀포시 표선면 가시리 158-2
자연,구시물,구시물,33.2949382425751,126.712677097316,제주특별자치도 서귀포시 남원읍 남원리
자연,군산오름,군산,33.2531331789113,126.369962483511,제주특별자치도 서귀포시 안덕면 창천리 산 3-1
자연,금능으뜸원해변,금능해수욕장,33.3904488156321,126.235889902253,제주특별자치도 제주시 한림읍 금능리 2026
자연,금오름,금악오름,33.3545500138779,126.305717639727,제주특별자치도 제주시 한림읍 금악리 산 1-1
자연,김녕사굴,김녕사굴,33.5438840021589,126.775476308592,제주특별자치도 제주시 구좌읍 김녕리 201-4
자연,김녕성세기해변,김녕해수욕장,33.5574388587079,126.759313988844,제주특별자치도 제주시 구좌읍 김녕리 497-4
자연,남원큰엉해안,큰엉해안경승지,33.2733321532168,126.703714399015,제주특별자치도 서귀포시 남원읍 남원리
자연,남제주억새오름길,남제주억새오름길,33.4501413267557,126.881410008742,제주특별자치도 서귀포시 성산읍 수산리
자연,높은오름,높은오름,33.4564484278964,126.793066793309,제주특별자치도 제주시 구좌읍 송당리 산 213-1
자연,다랑쉬오름,다랑쉬,33.4776696187156,126.82152735082,제주특별자치도 제주시 구좌읍 세화리 산 6
자연,다려도,다려도,33.5567929098305,126.695276828882,제주특별자치도 제주시 조천읍 북촌리
자연,도너리오름,도너리오름,33.325698568667,126.321343211403,제주특별자치도 제주시 한림읍 금악리 산 60
자연,도리미오름,큰돌이미,33.43175353850671,126.77259220212238,제주특별자치도 제주시 구좌읍 송당리 산 255-1
자연,돈내코,돈내코유원지,33.3003666313213,126.584133253515,제주특별자치도 서귀포시 상효동 1459
자연,동백동산,동백동산,33.5164508045545,126.716028545663,제주특별자치도 제주시 조천읍 선흘리 산 12
자연,동수악,한라산 동수악,33.3613462068584,126.627702283322,제주특별자치도 서귀포시 남원읍 한남리 산 2-12
자연,둔지봉,둔지봉,33.5027652501727,126.794975589431,제주특별자치도 제주시 구좌읍 한동리 산 40
자연,따라비오름,따라비오름,33.3887069884228,126.752858386101,제주특별자치도 서귀포시 표선면 가시리 산 63
자연,마라도등대,마라도항로표지관리소,33.1166553655102,126.269512260032,제주특별자치도 서귀포시 대정읍 가파리 642
자연,마라도,마라도,33.118480912949,126.267165665899,제주특별자치도 서귀포시 대정읍 가파리 600
자연,만장굴,만장굴,33.5279325219862,126.769351306065,제주특별자치도 제주시 구좌읍 김녕리 3341-3
자연,모구리오름,모구리오름,33.4089948928383,126.828616976532,제주특별자치도 서귀포시 성산읍 난산리 2960-1
자연,모지오름,모지오름,33.3935474875399,126.768129020359,제주특별자치도 서귀포시 표선면 성읍리 산 22
자연,무수천,무수천,33.4610527499844,126.447644130849,제주특별자치도 제주시 애월읍 광령리
자연,물영아리오름,물영아리,33.3684719660177,126.691972127978,제주특별자치도 서귀포시 남원읍 수망리 산 188
자연,바늘오름,바농오름,33.453963356695,126.652600508119,제주특별자치도 제주시 조천읍 교래리 산 108
자연,방선문,방선문,33.4528272971334,126.517831709667,제주특별자치도 제주시 오라이동 3819-11
자연,별도봉,별도봉,33.5189329700715,126.552650155216,제주특별자치도 제주시 화북일동 4472
자연,보목마을,보목마을,33.2407248628299,126.603755019514,제주특별자치도 서귀포시 보목동
자연,붉은오름자연휴양림,붉은오름자연휴양림,33.4014900759295,126.675361753765,제주특별자치도 서귀포시 표선면 가시리 산 158
자연,비양도,비양도,33.4102777124648,126.227348369237,제주특별자치도 제주시 한림읍 협재리
자연,비양봉,비양봉,33.4094531284489,126.226972967267,제주특별자치도 제주시 한림읍 협재리 산 100-1
자연,비자림,비자림,33.4904083697986,126.80998754971,제주특별자치도 제주시 구좌읍 평대리 3161-1
자연,사라봉,사라봉,33.5179387433477,126.545038850051,제주특별자치도 제주시 건입동 387-1
자연,사라오름,사라봉,33.5179387433477,126.545038850051,제주특별자치도 제주시 건입동 387-1
자연,산굼부리,산굼부리,33.4325741154168,126.693840600964,제주특별자치도 제주시 조천읍 교래리 166-2
자연,산방산,산방산,34.8606897375716,128.538701442661,경남 거제시 둔덕면 산방리
자연,산지등대,산지항로표지관리소,33.5214721002571,126.545782455294,제주특별자치도 제주시 건입동 340-2
자연,산지천,산지천,33.5133575497499,126.527402627066,제주특별자치도 제주시 일도1동
자연,삼양검은모래해변,삼양해수욕장,33.5258670153237,126.585537319057,제주특별자치도 제주시 삼양이동 1960-4
자연,삼의봉,삼의봉,33.4402458803769,126.561924426462,제주특별자치도 제주시 아라일동 산 24-2
자연,삼의양오름,세미오름,33.4390897009606,126.562343190597,제주특별자치도 제주시 아라동 산 24-2
자연,새별오름,새별오름,33.3661936453469,126.357711941768,제주특별자치도 제주시 애월읍 봉성리 산 59-3
자연,새신오름,새신오름,33.2981897940232,126.239319295042,제주특별자치도 제주시 한경면 산양리
자연,생각하는정원,생각하는정원 출입구1,33.3260685198856,126.254997895224,제주특별자치도 제주시 한경면 저지리 1529-7
자연,서건도,서건도,33.2299948343901,126.498627156523,제주특별자치도 서귀포시 강정동 산 1
자연,서귀포자연휴양림,서귀포자연휴양림,33.3122913114541,126.464872004233,제주특별자치도 서귀포시 하원동 산 1-1
자연,서귀포해양도립공원,서귀포해양도립공원,33.2415869021539,126.557767656634,제주특별자치도 서귀포시 서홍동
자연,석부작박물관,석부작박물관,33.2504031491774,126.536501983154,제주특별자치도 서귀포시 호근동 569-2
자연,선흘곶자왈,동백동산,33.5164508045545,126.716028545663,제주특별자치도 제주시 조천읍 선흘리 산 12
자연,섭지코지,섭지코지,33.4239380655993,126.930609241011,제주특별자치도 서귀포시 성산읍 고성리 87
자연,성산일출봉,성산일출봉,33.4591349705437,126.940537521366,제주특별자치도 서귀포시 성산읍 성산리 78
자연,세화해변,세화해변,33.5251436596119,126.86025618946,제주특별자치도 제주시 구좌읍 세화리 1-1
자연,소남머리,소남머리,33.2433961562919,126.569758950331,제주특별자치도 서귀포시 송산동
자연,소정방폭포,소정방폭포,33.2452264129726,126.577634537637,제주특별자치도 서귀포시 서귀동
자연,손지오름,손자봉,33.4566236486929,126.819832267508,제주특별자치도 제주시 구좌읍 종달리 산 52
자연,송아오름,송아오름,33.3356376285662,126.238568601668,제주특별자치도 제주시 한경면 조수리 134
자연,송악산,송악산,33.1992155342686,126.290117450498,제주특별자치도 서귀포시 대정읍 상모리 산 2
자연,쇠머리오름,쇠머리오름,33.4922725850908,126.963663285572,제주특별자치도 제주시 우도면 연평리 산 17
자연,쇠소깍,쇠소깍,33.252354866117,126.624331997703,제주특별자치도 서귀포시 남원읍 하례리 1889
자연,수악,수악,33.3247382741043,126.609376700263,제주특별자치도 서귀포시 남원읍 하례리 산 10
자연,수월봉,수월봉,33.2946169024905,126.163172314081,제주특별자치도 제주시 한경면 고산리 3763
자연,신양섭지코지해변,신양섭지해수욕장,33.4351030669935,126.923472849946,제주특별자치도 서귀포시 성산읍 고성리 186-2
자연,신양마을,신양마을,33.9414077855035,126.320918487144,제주특별자치도 제주시 추자면 신양리
자연,신풍신천바다목장,신천목장,33.35626839766112,126.86791633195057,제주특별자치도 서귀포시 성산읍 신천리 1
자연,쌍용굴,한림공원 쌍용굴,33.3864501760504,126.240722464231,제주특별자치도 제주시 한림읍 협재리
자연,아부오름,아부오름,33.4485841755621,126.777214998455,제주특별자치도 제주시 구좌읍 송당리 2263
자연,안덕계곡,안덕계곡,33.2572021694392,126.35258255771,제주특별자치도 서귀포시 안덕면 감산리 1946
